study,task,condA,condB,nA,nB,ncat,sim,focal_cat,focal_pp,p,stimA,stimB
ak35q,8,6,8,242,231,5,1.0,3,33.37,2.4882266322866994e-14,"You read “You have been diagnosed with a condition called rheumatoid arthritis, or RA. RA occurs when the immune system mistakenly attacks its own body tissue, affecting the lining of joints. RA can cause joints to becom","You read “You have been diagnosed with a condition called rheumatoid arthritis, or RA. RA occurs when the immune system mistakenly attacks its own body tissue, affecting the lining of joints. RA can cause joints to becom"
4w9pz,1,0,1,385,409,6,0.977,6,-32.35,8.074459676626565e-44,"You read “Hi class, I’m very excited to be your math teacher this year... (full undermining-speech text)” and then were asked: “This math teacher seems to believe that students can’t really change how good they are at ma","You read “Hi class, I’m very excited to be your math teacher this year... (full affording-speech text)” and then were asked: “This math teacher seems to believe that students can’t really change how good they are at math"
7jt2f,0,3,4,395,401,4,0.727,2,30.75,2.777858761967795e-31,You read “Jordan is identified only by the label “Marital Status = Single.”” and then were asked: “How bad or good do you think Jordan is?”. Only return an integer from -3 to 3 where -3 means “Very bad” and 3 means “Very,"You read “Jordan is identified by the label “Atheist” with a short friendly biography about college, architecture, California and running.” and then were asked: “How bad or good do you think Jordan is?”. Only return an i"
8jv6a,0,3,6,287,271,7,0.923,2,-29.13,2.24751114307035e-29,"You read ""The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leade","You read ""The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leade"
4zwv2,8,0,5,517,517,7,0.505,7,28.82,1.5735859630174085e-43,"You read “Type 3: These groups have a strong interest in harming American interests either at home or abroad. They are driven by hatred, and believe that America is evil and should be eliminated from the face of the eart","You read “Type 3: These groups have little interest in directly harming American interests either at home or abroad. They are driven by their own interests, and don’t seem to worry about America. Even though their focus "
9nphm,0,0,7,274,267,7,0.509,7,27.98,8.865277052570521e-13,"You read ""Jaime is 20 years old and was born a boy, and now identifies as a woman. When Jaime was little, Jaime felt like a girl. As a child, Jaime liked to wear dresses and play with dolls. Jaime now lives as a transgen","You read ""Jaime is 20 years old and was born a girl, and now identifies as non-binary. Non-binary means someone whose gender is not male or female. When Jaime was little, Jaime felt like a girl. As a child, Jaime liked t"
ndhyr,0,3,12,398,264,4,0.993,3,26.32,3.2995291543497535e-14,"You read stimulus v4 and then were asked: 'You should have been offered more money in response to the error.' Only return an integer from 1 to 4, where 1 means Strongly Disagree and 4 means Strongly Agree.","You read stimulus v13 and then were asked: 'You should have been offered more money in response to the error.' Only return an integer from 1 to 4, where 1 means Strongly Disagree and 4 means Strongly Agree."
mebng,3,4,7,186,214,7,0.725,1,-26.02,1.8249945396432372e-07,You viewed this post as an AP tweet: “New study finds that Alzheimer’s diagnoses among older adults increased from 2017”. Then you were asked: “How likely are you to seek out more information about rising depression diag,You viewed this post on the AP’s news website: “New study finds that retirement savings among older adults decreased from 2017”. Then you were asked: “How likely are you to seek out more information about lower retiremen
7rt4q,3,3,5,316,320,7,0.529,4,25.55,2.489231639264029e-31,"You read that craft beer businesses have grown substantially in the United States. The label on the bottle stated: ""Craft Beer – Recommended serving: tulip glass; this beer features the brewer’s seasonal hop blend."" The ","You read that gourmet cupcake businesses have grown substantially in the United States. The label on the box stated: ""Gourmet Cupcake – Winner of Food Network’s Cupcake Wars – Seasonal flavors: raspberry lavender, vanill"
3pcdm,0,2,3,405,394,3,0.777,1,25.07,2.654503008434105e-12,"You read 'You were surprised to find out that your hospital, clinic, or other health care provider charged you more than you expected in a medical bill for care you received to treat an illness, injury, or other medical ",You read 'Some people want Democrats and Republicans in government to address the costs of health care. You were surprised to find out that your insurance plan would not pay any part of a medical bill for care you receiv
5mt6r,0,0,1,671,652,5,0.779,4,-25.01,1.1193544144409597e-43,"Would you say your health in general is excellent, very good, good, fair, or poor? Only return an integer from 1 to 5 representing 1 = excellent and 5 = poor, nothing else.","Would you say your health in general is poor, fair, good, very good, or excellent? Only return an integer from 1 to 5 representing 1 = poor and 5 = excellent, nothing else."
w72cz,2,1,2,504,506,7,0.769,7,-25.0,1.1384822655576234e-17,"You read the brief text description of the monitoring technology and sensor input, and then watched a masked video clip showing only motion vectors of the actor performing the same three actions. How much would this type","You read the brief text description of the monitoring technology and sensor input, and then watched a masked video clip in which the actor’s movements were obscured by a noise overlay that hides identifying visual detail"
gdrbk,0,5,11,154,152,7,0.825,4,-23.68,2.2068564205716905e-05,"You read a news story presenting two public opinion poll results: both polls show Hillary Clinton leading Donald Trump; Poll 1 is debunked by an expert, Poll 2 is praised by an expert.. Then you were asked: ""Comparing th","You read a news story presenting two public opinion poll results: both polls are high quality; an expert debunks both polls.. Then you were asked: ""Comparing the two polls directly, which poll do you think is more accura"
kv3sd,1,0,2,1718,1712,6,0.825,5,22.27,1.0480151885307773e-76,"You read “Due to their previous error, The tax authorities believe you owe them $6,000. You disagree.” and then were asked: “If you faced this problem, which of the following best describes what you would do? I would . .","You read “Due to your previous error, You believe that you are owed (by the estate of someone who has died) $3,000. You disagree.” and then were asked: “If you faced this problem, which of the following best describes wh"
a693y,0,2,6,709,729,5,0.531,4,-19.96,1.022398294493337e-42,"You read “People currently pay Social Security taxes on annual earnings up to a cap—$113,700 in 2013. Some people propose raising this cap on payroll taxes, so that workers who earn more than $113,700 per year would pay ","You read “Currently, the normal age at which one becomes eligible to collect Social Security benefits is 65 and is rising to 67 for people born after 1960. Some people propose further raising this age to 68. A bipartisan"
dehmv,0,4,5,1555,1557,2,0.505,2,-19.74,3.1044738196808185e-29,You were shown two candidate profile cards. Candidate A – Name: Lawrence Kramer; Race/ethnicity: White; Photo ID: 19835; Military service: Served in military; honored for valor in combat; Education: Did not graduate from,You were shown two candidate profile cards. Candidate A – Name: Justin Becker; Race/ethnicity: White; Photo ID: 52516; Military service: Served in military; honored for valor in combat; Education: Did not graduate from c
hu45w,0,8,13,311,306,4,0.897,1,-19.26,4.296321390948347e-07,"You read the following scenario: One evening, Tyrone began to feel ill. Tyrone went to the local urgent care and was seen by Dr. Smith. Tyrone, who was born female but now identifies as a man, began by telling Dr. Smith ","You read the following scenario: One evening, Scott began to feel ill. Scott went to the local urgent care and was seen by Dr. Smith. Scott, who was born female but now identifies as a man, began by telling Dr. Smith abo"
nst3w,7,1,2,406,374,7,0.825,4,-18.99,8.445022720152221e-07,"You read “[Headline] Race for Congress Continues. As Election Day draws near, Congressional candidates Tom Larson and Martin Sheldon continue to be neck and neck in the polls. Eager to pull ahead, both candidates have re","You read “[Headline] Race for Congress Continues. As Election Day draws near, Congressional candidates Tom Larson and John Williams continue to be neck and neck in the polls. Eager to pull ahead, both candidates have rec"
a7uk3,5,0,3,260,277,4,0.572,1,18.88,0.00012021500012043277,"You read “New Poll Finds Rising Fears of Terrorism Nationwide: The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In th","You read “New Poll Finds Rising Fears of Terrorism Nationwide: The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In th"
gzdnf,9,0,1,193,202,5,0.691,3,-18.43,0.0003252726210391641,"You were shown no perspective-taking instructions and no images. Ashamed/Embarrassed by people from the U.S.: How much does this describe your feelings? Only return an integer from 1 to 5, where 1 means 'Not at all' and ",You were shown instructions to imagine how each animal feels and images depicting a polar bear struggling due to melting ice and a koala bear being rescued from fires. Ashamed/Embarrassed by people from the U.S.: How muc
v6kqy,2,2,4,3718,3635,5,0.704,1,-18.09,4.519161134962464e-167,"You viewed an image and description of the Ford F-150 XLT, a gasoline-powered truck that costs about $40,000, has a 500 mile range and can tow up to 14,000 pounds and then were asked: ""This product reflects my values."" O","You viewed an image and description of the Hyundai Kona Electric, a 100% electric version of the Hyundai Kona that costs about $40,000, has a 250 mile range and can accelerate from zero to 60 mph in about 6.4 seconds and"
4n986,0,0,1,302,304,2,0.589,1,17.36,4.503755764760709e-06,"You did not read any story before answering this question. Then you were asked: ""Do you think drug addicts should be arrested for violating drug laws, or offered government-funded treatment?"" Only return 1 for 'Arrest' o","You read an excerpt from a featured news story entitled 'More Evidence Suggests That Drug Companies Helped Cause the Opioid Epidemic' that portrayed white Americans sympathetically and told the personal story of Mike, a "
pjneh,0,8,10,243,228,5,1.0,2,-17.18,2.9541376711990606e-05,"In general, would you say your quality of life is? 1=Excellent, 2=Very good, 3=Good, 4=Fair, 5=Poor. Only return an integer from 1 to 5, nothing else.","In general, would you say your quality of life is? 1=Excellent, 2=Very good, 3=Good, 4=Fair, 5=Poor. Only return an integer from 1 to 5, nothing else."
j986z,4,4,5,236,209,7,0.991,7,-17.17,0.0001167255754908751,"You were told that recruiters at Apex Solutions determined that this job applicant meets the job requirements the job requirements based on the cover letter and resume. You then read the following cover letter: ""Hello, m","You were told that recruiters at Apex Solutions determined that this job applicant does not meet the job requirements the job requirements based on the cover letter and resume. You then read the following cover letter: """
ye2ej,5,6,9,249,246,7,0.649,7,17.15,4.375476766083183e-06,You read “Sarah received her BA in 2005. She has worked as an accountant for a local chain of bookstores where she is responsible for managing the accounts for four locations and the overall company. Her reference letter,You read “Matthew received his BA in 2003. He worked as an accountant for a local chain of bookstores where he was responsible for managing the accounts for four locations and the overall company. His reference letter in
ar9e3,0,2,3,380,413,5,0.587,4,16.98,2.777376898969247e-09,"You read ""politics, by which we mean laws and policies to address problems facing the country"" and then were asked: ""How interested are you in politics, by which we mean laws and policies to address problems facing the c","You read ""politics, by which we mean people debating laws and policies"" and then were asked: ""How interested are you in politics, by which we mean people debating laws and policies? Only return an integer from 1 to 5, wh"
k9ahx,0,2,4,205,212,5,0.686,2,-16.53,2.873104935938577e-10,"You read ""Some people believe we should do as much as we can to provide economic security to create jobs, improve incomes, and decrease home foreclosures."" and then were asked: ""Please indicate how much you think recent ","You read ""Some people believe that we need to do a lot more to make sure everyone has an equal opportunity to get ahead in life."" and then were asked: ""Please indicate how much you think recent political campaigns have e"
zmtbw,4,1,2,430,493,7,0.638,6,16.03,3.5215256076973435e-27,"You read an excerpt from a news article about how both parties are preparing for the 2022 midterm elections, including quotes from a campaign source. Then you read a statement from a top Republican leader: “Democratic po","You read an excerpt from a news article about how both parties are preparing for the 2022 midterm elections, including quotes from a campaign source. Then you read a statement from a top Democratic leader: “Republican DA"
rs65g,0,1,3,881,1847,3,0.869,1,15.94,2.9838080581171266e-16,"You read an EnergyGuide label for a room air conditioner and then were asked: ""Which of the following three options do you most prefer: Option A with purchase price $200, Option B with purchase price $505, Option C with ","You read an EnergyGuide label for a central air conditioner and then were asked: ""Which of the following three options do you most prefer: Option A with purchase price $200, Option B with purchase price $300, Option C wi"
z358z,6,0,2,484,540,7,0.875,7,15.64,1.5009499219703802e-08,"You were shown a study comparing chlorthalidone (CTD) versus hydrochlorothiazide (HCTZ) for high blood pressure. In usual care, it is important to explain to patients how the doctor will choose which treatment they recei","You were shown a study comparing morning versus night dosing of high blood pressure medication. In usual care, it is important to explain to patients how the doctor will choose which treatment they receive. Only return a"
xvgh5,5,2,7,287,297,5,0.723,2,15.57,0.00012309645307018787,"You read ""Foreign aid is money that the U.S. government sends to poor countries to help them fight poverty. A lot of the aid money that we send overseas goes to poor African countries in which half of the population live","You read ""Foreign aid is money that the U.S. government sends to poor countries to help them fight poverty. A lot of the aid money that we send overseas goes to poor Eastern European countries in which half of the popula"
bsd7j,6,1,2,504,504,3,0.876,2,-15.48,1.0720095385945065e-06,"You viewed a chart showing the average federal individual income tax rates for U.S. households at different income levels. The chart shows that the poorest 20% have an average rate of -7%, meaning they receive a larger r","You viewed a chart showing the average total tax rates (all federal, state, and local taxes) for U.S. households at different income levels. The chart shows that the poorest 20% have an average rate of 19%. and then were"
zx5b8,0,0,1,293,280,6,0.89,6,15.09,4.383407590633599e-06,"Imagine that you and your spouse are sitting next to one another on the sofa and discussing an ongoing area of disagreement in your relationship. Now, imagine that as you are talking, your spouse reaches out and touches ","Imagine that you and your spouse are sitting next to one another on the sofa and discussing an ongoing area of disagreement in your relationship. Now, imagine that as you are talking, your spouse leans back, crosses his/"
wn3y9,0,3,4,721,728,5,0.833,3,14.8,5.003056983908893e-09,"How would you feel if you had a son or daughter who married someone who votes for the Democratic Party and who frequently talks about politics? Only return an integer from 1 (Very happy) to 5 (Very unhappy), nothing else","How would you feel if you had a son or daughter who married someone who voted for Barack Obama but who rarely talks about politics? Only return an integer from 1 (Very happy) to 5 (Very unhappy), nothing else."
ams2u,1,2,3,1504,1542,2,0.756,1,14.76,3.194462239549009e-16,"You read the following pro-education frame: ""Recently many states have adopted new national standards for teaching in grades K–12 known as the Common Core Standards. The objective of the Common Core is to provide consist","You read the following con-education frame: ""Recently many states have adopted new national standards for teaching in grades K–12 known as the Common Core Standards. The objective of the Common Core is to provide consist"
vnm9y,1,0,2,789,793,5,0.605,1,-14.04,1.2512900760757194e-11,You viewed an image of a Twitter post about police shootings that reads “The police can shoot unarmed people with no fear of punishment. I stand with the protestors who think the men in blue should be prosecuted when the,"You viewed an image of a Twitter post about marijuana that reads “Let’s legalize it!!!! Weed is not dangerous, and I’m glad that there are finally Democratic politicians willing to say it.”. On a scale of 1 to 5, how con"
zv3wc,1,1,6,1031,1114,5,0.996,5,-13.71,1.1152919626935983e-19,"You read “[Full text of Narrative 1]” and then were asked: ""How willing would you be to have a person with mental illness marry into your family?"" Only return an integer from 1 to 5, where 1 means definitely willing and ","You read “[Full text of Narrative 6]” and then were asked: ""How willing would you be to have a person with mental illness marry into your family?"" Only return an integer from 1 to 5, where 1 means definitely willing and "
326nv,8,0,3,249,260,4,0.9,4,13.68,0.0004866017028523435,You were shown an advertisement with no music and neutral visuals presenting an immigration message followed by a conservative policy solution proposed by Citizens for a New Immigration Policy. How much do you trust Citi,You were shown an advertisement with threatening music and fearful visuals presenting an immigration message followed by a liberal policy solution proposed by Citizens for a New Immigration Policy. How much do you trust 
egmxd,1,0,2,1666,1717,5,0.668,4,-13.52,1.9992685166118646e-57,"You were shown a fast-food menu with a Quick Response code label next to every menu item, including Whopper, Impossible Whopper, Whopper Jr., Double Whopper with Cheese, Bacon Double Cheeseburger, Cheeseburger, Crispy Ch","You were shown a fast-food menu where high greenhouse gas emission items (items whose primary protein is beef such as Whopper, Whopper Jr., Double Whopper with Cheese, Bacon Double Cheeseburger, and Cheeseburger) are dis"
xym9d,1,1,5,352,379,5,0.979,1,13.49,0.00016725798477907984,You viewed the following statement: “Prenatal care lowers the risks of birth defects and is the most cost-effective way to improve the health of mothers and their infants. In some states Democrats have worked to expand p,You viewed the following statement: “Prenatal care lowers the risks of birth defects and is the most cost-effective way to improve the health of mothers and their infants. In some states Democrats and Republicans have wo
mp3dr,1,2,4,671,686,5,0.688,2,-12.96,8.610455432263017e-15,"In order to create a workplace with more racial diversity, Some companies actively recruit racial minorities to apply for job openings. What is your opinion of this practice? Only return an integer from 1 to 7, where 1 m","In order to minimize gender discrimination, Some companies actively recruit women to apply for job openings. What is your opinion of this practice? Only return an integer from 1 to 7, where 1 means strongly favor and 7 m"
rj3aw,0,0,2,767,766,4,0.717,1,-12.94,5.703277006487726e-12,You read “We need to limit any increases in government spending to get the national debt under control. It would be immoral to saddle future generations with our debt.” and then were asked: “Do you think this candidate t,You read “We must repeal the environmental regulations placed on our businesses. We have a moral obligation to protect American workers.” and then were asked: “Do you think this candidate truly believes the position or i
v6nhw,1,0,1,476,536,5,0.954,5,12.52,3.7222884944011686e-08,"You read “Would you support the opening of a new medication-assisted treatment clinic for opioid addiction a quarter mile (5 minute walk) from your home?” Only return an integer from 1 to 5, where 1 means Strongly suppor","You read “Would you support the opening of a new medication-assisted treatment clinic for opioid addiction 2 miles (40 minute walk) from your home?” Only return an integer from 1 to 5, where 1 means Strongly support and "
a5v96,2,3,6,200,400,4,0.828,1,12.5,3.332621884706633e-05,"You read the following scenario: ""Sergeant Jones is a combat medic who has just removed 4 critically wounded soldiers from a battlefield. All 4 soldiers need emergency surgery. He begins treating their wounds and calls h","You read the following scenario: ""Captain Jones is an Army doctor who has just removed 4 critically wounded soldiers from a battlefield. All 4 soldiers need emergency surgery. He begins treating their wounds and calls hi"
ztwqy,5,1,2,411,417,7,1.0,3,11.37,8.183475423590758e-07,"You were asked: ""Please use the following scale to indicate how different or similar you think your expenses will be for the next week, relative to any other week."" Only return an integer from 1 (Very different) to 7 (Ve","You were asked: ""Please use the following scale to indicate how different or similar you think your expenses will be for the next week, relative to any other week."" Only return an integer from 1 (Very different) to 7 (Ve"
b5a4z,0,2,3,504,250,3,1.0,3,11.22,0.0008559262522197747,"About 1% of the US Federal Budget is spent on nonmilitary economic aid to foreign countries. Would you say that the US now spends too much, about the right amount, or too little? Only return 1 for ""Too much"", 2 for ""Abou","About 1% of the US Federal Budget is spent on nonmilitary economic aid to foreign countries. Would you say that the US now spends too much, about the right amount, or too little? Only return 1 for ""Too much"", 2 for ""Abou"
6s2q5,0,0,1,571,556,7,0.665,1,10.76,3.064130389979223e-05,"You read ""According to the U.S. Department of Education, college student loan debt now exceeds one trillion dollars, which surpasses the total credit card debt in the United States. This has led to proposals for a studen","You read ""According to the U.S. Department of Education, college student loan debt now exceeds one trillion dollars, which surpasses the total credit card debt in the United States. This has led to proposals for a studen"
fct42,1,0,1,2016,2007,2,0.96,2,10.62,8.967132449350077e-12,"You read ""A white person says that welfare recipients could get ahead if they were willing to work hard."" and then were asked: ""Is this situation an instance of racism?"" Only return 1 for Yes and 2 for No, nothing else.","You read ""A white person says that welfare recipients could get ahead if they were willing to work hard."" and then were asked: ""Is this situation an instance of racial insensitivity?"" Only return 1 for Yes and 2 for No, "
c5r2f,1,4,8,542,521,4,0.503,0,9.94,3.1742201119720855e-05,You read “Imagine that you have just been hired at a company and must fill out several work-related forms... For employees at this company no wages are set aside for retirement unless an employee chooses to do so. You ar,You read “Imagine that you are at a health clinic for a physical check-up... Patients at this clinic are not routinely tested for Streptococcus encephalinus unless they actively request to be tested. You are therefore cu
jmtyn,4,0,4,875,819,5,0.715,3,9.7,0.00025937569488696546,"You were told policies were in place that guaranteed all employees access to subsidized childcare, paid parental and family medical leave, and flexible scheduling (such as the ability to work from home one day per week).","You were told nothing about subsidized childcare, paid parental or family medical leave, or flexible scheduling at work. Then you were asked: “Please indicate whether you strongly agree, agree, neither agree nor disagree"
a42yg,0,1,2,760,690,8,0.752,1,9.53,1.6536018838115504e-05,"You read ""Palliative care is defined as an approach designed to treat pain, manage physical symptoms and treatment side effects, and provide psychosocial support that improves the quality of life of patients and their fa","You read ""Palliative care is defined as an approach designed to treat pain, manage physical symptoms and treatment side effects, and provide psychosocial support that improves the quality of life of patients and their fa"
j6xgs,0,0,1,1179,1190,7,0.979,1,-9.39,2.302627119804502e-15,"You read “People sometimes feel like they are busier than normal, and at other times they feel like they are less busy than normal. We are interested in how you have been feeling lately. Think for a few moments about the","You read “People sometimes feel like they are busier than normal, and at other times they feel like they are less busy than normal. We are interested in how you have been feeling lately. Think for a few moments about the"
e2pyb,1,1,2,1051,1050,7,0.815,7,-9.15,5.147923401961559e-12,"You viewed an infographic depicting economic racial disparities between Black and White Americans, showing that Black American communities experience lower home-ownership rates and less overall wealth compared to White A","You viewed an infographic depicting belonging-based racial disparities between Black and White Americans, showing that Black Americans feel less welcome in shops and public spaces compared to White Americans and were the"
xweq8,0,1,3,2525,2467,4,0.98,2,-8.84,2.8048778540283488e-14,"You were asked to think about most White men. Please indicate whether you agree or disagree with the following statement: ""Most men are better suited emotionally for politics than are most women."" Only return 1 for Agree","You were asked to think about most Black men. Please indicate whether you agree or disagree with the following statement: ""Most men are better suited emotionally for politics than are most women."" Only return 1 for Agree"
q8ra3,2,0,3,751,774,5,0.681,4,8.8,0.00042217798523731505,"You read “Human Rights Action Committee (HRAC), an international advocacy organization based in Geneva, Switzerland, accused multiple governments today of repeated violations of human rights throughout their criminal jus","You read “Human Rights Action Committee (HRAC), an international advocacy organization based in Geneva, Switzerland, accused the United States today of repeated violations of human rights throughout the criminal justice "
xtvu5,0,0,1,1056,1056,4,0.916,4,-8.52,6.078532393591146e-10,"You read ""Lately, there have been a lot of news stories about the spread of political misinformation."" and then were asked: ""How closely are you following news about this issue?"" Only return an integer from 1 to 4, where","You read ""Lately, there have been a lot of news stories about the spread of political misinformation on social media websites like Facebook and Twitter."" and then were asked: ""How closely are you following news about thi"
52ymc,3,1,2,1262,1187,4,0.992,4,-7.99,0.0004000579699047718,"You read “In the United States, Black men are much more likely to be unemployed than are White men. The unemployment rate is defined as the percentage of jobless people who have actively sought work in the previous four ","You read “In the United States, Black women are much more likely to be unemployed than are White women. The unemployment rate is defined as the percentage of jobless people who have actively sought work in the previous f"
5b6tf,0,0,11,1067,1047,6,0.566,5,-7.81,2.1480921714776372e-11,"You read 'Michael recently graduated from high school and will attend college in the fall. His mother and father, both factory workers, are very proud of him. Michael is excited to be attending his first-choice college, ","You read 'Emily recently graduated from high school and will attend college in the fall. Her mother and father, both lawyers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ran"
m52pd,5,0,3,577,612,7,0.99,7,7.74,0.0001533170215115482,"You read a brochure describing Wadsworth College, a four-year college specializing in Arts and Sciences, showing that in 2017 women earned an overwhelming majority (64%) of all bachelor’s degrees, and then reviewed the r","You read a brochure describing Wadsworth College, a four-year college specializing in Arts and Sciences, showing that in 2017 men earned an overwhelming majority (64%) of all bachelor’s degrees, and then reviewed the rés"
