study,task,condA,condB,nA,nB,ncat,sim,focal_cat,focal_pp,p,stimA,stimB
3bzxg,2,0,3,3290,1652,2,0.577,1,0.19,0.9089652050363826,You did not receive any warning and then were asked: “Have you or members of your immediate family ever received Unemployment insurance?Only return 1 for Yes or 2 for No.,You read “It is important to us that participants in our survey pay close attention to the materials. Are you willing to carefully read the materials and answer all of the questions to the best of your ability?” and then
xfmrn,1,0,2,1609,1648,5,0.753,3,1.44,0.7509686384193552,"You did not receive any reminder message before answering. Then you were asked: “How much of the time do you think you can trust Democrats to do what is right for the country?” Only return an integer from 1 to 5, where 1","You saw the following reminder before answering: “Just a reminder, your responses are completely private.” Then you were asked: “How much of the time do you think you can trust Democrats to do what is right for the count"
xweq8,1,3,4,1647,1590,2,0.996,1,1.2,0.5148314747521232,"You were asked to think about most Black men. On the average, Black people have worse jobs, income, and housing than White people. Do you think these differences are mainly due to discrimination? Only return 1 for Yes or","You were asked to think about most Black women. On the average, Black people have worse jobs, income, and housing than White people. Do you think these differences are mainly due to discrimination? Only return 1 for Yes "
dehmv,0,3,5,1558,1557,2,0.538,1,-1.12,0.5543441877334665,You were shown two candidate profile cards. Candidate A – Name: Andy Schaefer; Race/ethnicity: White; Photo ID: 47966; Military service: Served in military; honored for valor in combat; Education: Graduated from an Ivy L,You were shown two candidate profile cards. Candidate A – Name: Justin Becker; Race/ethnicity: White; Photo ID: 52516; Military service: Served in military; honored for valor in combat; Education: Did not graduate from c
waq4m,0,0,2,1394,1476,4,0.567,3,1.11,0.8931186451939519,"You were not shown any statement and then were asked: ""Latinos should always vote for Latino candidates when they run."" Only return 1 for Strongly disagree; 2 for Somewhat disagree; 3 for Somewhat agree; 4 for Strongly a","You read ""As a matter of public policy, the number of illegal immigrants coming into the United States each year needs to be reduced. Illegal immigrants are taking away American jobs, threatening American culture, and en"
nb4xg,0,6,9,1325,1316,5,1.0,5,1.85,0.5062127189883641,"You read the following paragraph: ""Currently almost half a million Americans are incarcerated for drug crimes, many with lengthy sentences for non-violent offenses. While people should be held accountable for their actio","You read the following paragraph: ""Currently almost half a million Americans are incarcerated for drug crimes, many with lengthy sentences for non-violent offenses. While people should be held accountable for their actio"
hu45w,3,9,14,1308,1412,2,0.554,2,-0.27,0.9072758933575263,"You read the scenario: One evening, Scott began to feel ill. Scott went to the local urgent care and was seen by Dr. Smith. Scott, who was born female but now identifies as a man, began by telling Dr. Smith about the sym","You read the scenario: One evening, Carlos began to feel ill. Carlos went to the local urgent care and was seen by Dr. Smith. Carlos, who was born female but now identifies as a man, began by telling Dr. Smith about the "
nj5dx,5,0,1,1289,1292,7,0.667,6,1.5,0.562076164211202,"You read an infographic highlighting the disadvantages faced by lower-class Americans, including statistics on income inequality, poverty rates, and disparities in health and life outcomes. After viewing it, you were ask","You read an infographic highlighting the privileges held by upper-class Americans, including statistics on wealth concentration, income gaps, and advantages in education and opportunities. After viewing it, you were aske"
5b6tf,1,8,9,1251,1323,9,0.601,1,0.0,1.0,"You read 'Emily recently graduated from high school and will attend college in the fall. Her mother and father, both factory workers, are very proud of her. Emily is excited to be attending her first-choice college, a hi","You read 'Emily recently graduated from high school and will attend college in the fall. Her mother and father, both lawyers, are very proud of her. Emily is excited to be attending her first-choice college, a highly-ran"
c38xe,2,0,2,1227,1238,7,0.699,4,1.86,0.5954414638460233,"You were shown the following two president candidates. Candidate 1: Conservative Republican, Reduce government spending, Protect gun ownership, Protestant, $210,000, Black, Male. Candidate 2: Moderate Democrat, Reduce go","You were shown the following two mayor candidates. Candidate 1: Conservative Republican, Reduce government spending, Protect abortion access, Protestant, $54,000, Black, Male. Candidate 2: Moderate Independent, Reduce ta"
xykr7,1,1,4,1224,1228,5,0.653,2,-1.62,0.8909008543726891,"You were shown a classroom scenario: Alejandra doesn’t have an IEP, and has never had any major behavior issues in your classroom. At the last parent teacher conference, you were glad to have the opportunity to discuss t","You were shown a classroom scenario: Jamal doesn’t have an IEP, and has never had any major behavior issues in your classroom. You recently learned that [his/her] father was killed in a car accident a couple of years ago"
52ymc,1,0,2,1176,1184,4,0.971,4,-0.28,0.9969510813191653,"You read “In the United States, Blacks are much more likely to be unemployed than are Whites. The unemployment rate is defined as the percentage of jobless people who have actively sought work in the previous four weeks.","You read “In the United States, Black women are much more likely to be unemployed than are White women. The unemployment rate is defined as the percentage of jobless people who have actively sought work in the previous f"
q8ra3,0,1,2,1178,1164,5,0.899,2,-1.79,0.5008969941575951,"You read “Human Rights Action Committee (HRAC), an international advocacy organization based in Geneva, Switzerland, accused the United States today of repeated violations of human rights throughout the criminal justice ","You read “Human Rights Action Committee (HRAC), an American advocacy organization based in New York, accused the United States today of repeated violations of human rights throughout the criminal justice system. A HRAC s"
a7uk3,4,2,3,1101,1095,4,0.993,3,-1.73,0.7498381832134389,"You read “New Poll Finds Rising Fears of Terrorism Nationwide: The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In th","You read “New Poll Finds Rising Fears of Terrorism Nationwide: The number of people who say that acts of terrorism against Americans are imminent is up 3% from last year, according to a new poll released this week. In th"
bwgjp,4,2,3,1101,1095,4,0.968,3,-1.73,0.7498381832134389,You read 'Same as #1 plus Democratic Congressman John Baker endorsing the low risk facts.' and then were asked: 'How serious are car accidents as a threat to your personal safety over the next 10 years? Only return an in,You read 'Same as #1 plus Republican Congressman John Baker endorsing the low risk facts.' and then were asked: 'How serious are car accidents as a threat to your personal safety over the next 10 years? Only return an in
xtvu5,5,0,1,1053,1052,5,0.913,3,1.49,0.9553854470080009,"You read ""Lately, there have been a lot of news stories about the spread of political misinformation."" and then were asked: ""How much do you trust news from Local newspapers?"" Only return an integer from 1 to 5, where 1 ","You read ""Lately, there have been a lot of news stories about the spread of political misinformation on social media websites like Facebook and Twitter."" and then were asked: ""How much do you trust news from Local newspa"
e2pyb,1,0,2,1063,1050,7,0.805,5,1.63,0.7263911459681724,"You viewed an infographic depicting health-related racial disparities between Black and White Americans, showing that Black American communities have less access to hospitals, pharmacies, and medical care compared to Whi","You viewed an infographic depicting belonging-based racial disparities between Black and White Americans, showing that Black Americans feel less welcome in shops and public spaces compared to White Americans and were the"
5hqan,0,0,1,1109,1028,3,1.0,2,-1.95,0.5933474968988346,"What sex were you assigned at birth? (For example, on your birth certificate.) Only return an integer from 1 to 3 where 1 means Female, 2 means Male, and 3 means Intersex, nothing else.","What sex were you assigned at birth? (For example, on your birth certificate.) Only return an integer from 1 to 3 where 1 means Female, 2 means Male, and 3 means Intersex, nothing else."
ejms3,1,2,3,1029,1002,5,0.942,5,1.07,0.7945439131511532,"You read 'Did Lucas Hofmann, a Democratic prosecutor in Wisconsin, collude with Democratic Party members to suppress evidence that Gerry Mason, a wealthy donor in the state, engaged in pedophilia?' Only return an integer","You read 'Did Lucas Hofmann, a Republican prosecutor in Wisconsin, collude with Republican Party members to suppress evidence that Gerry Mason, a wealthy donor in the state, engaged in pedophilia?' Only return an integer"
yn7mx,0,1,2,1003,999,3,0.933,20,-0.2,0.5866462195100317,"You read ""A father and his daughter are in a car accident. The father dies on the spot. The daughter, badly injured, is taken to the hospital. In the ER, the attending surgeon looks at the girl and says, 'I can't operate","You read ""A father and his child are in a car accident. The father dies on the spot. The child, badly injured, is taken to the hospital. In the ER, the attending surgeon looks at the child and says, 'I can't operate on t"
3jwnf,2,1,2,1004,999,4,0.552,4,-1.41,0.7184201072536656,"You read “How willing would you be to fully re-open the United States economy, even if that meant 2 to 3 percent of citizens would ultimately die of COVID-19?” You were then asked: “How willing would you be to fully re-o","You read “Some African American communities have been disproportionately affected by COVID-19, with them making up the majority of some states' COVID-19 hospitalizations and deaths. How willing would you be to re-open yo"
kwfs3,0,0,2,1152,946,2,0.935,1,0.7,0.7509508132263623,"As an additional thank you for filling out this questionnaire, you were told you could choose one of two options. Option A: a $3 payment as a thank you. Option B: a $7 payment as a thank you, and the researchers will mak","As an additional thank you for filling out this questionnaire, you were told you could choose one of two options. Option A: a $3 payment as a thank you. Option B: a $10 payment as a thank you, and the researchers will ma"
jmtyn,4,1,3,892,846,5,0.735,1,-1.19,0.9378223280065864,"You were told policies were in place that guaranteed all employees access to subsidized childcare, paid parental and family medical leave, and flexible scheduling (such as the ability to work from home one day per week).","You were told the vast majority of employees in the United States do not have access to subsidized childcare, paid parental or family medical leave, or flexible scheduling at work (such as the ability to work from home o"
ervm8,0,1,2,844,830,4,0.625,1,1.76,0.6295479084698385,"In talking to people about elections, we often find that a lot of people were not able to vote because they weren’t registered, they were sick, or they just didn’t have time. By looking at public records kept by election","In talking to people about elections, we often find that a lot of people were not able to vote because they weren’t registered, they were sick, or they just didn’t have time. We also sometimes find that people who say th"
v5u8r,2,1,3,896,828,5,0.919,2,-1.71,0.8452084674771612,"You read ""the race-based threat-only news article about CSRP research on race-based disparities"" and then were asked: ""Please tell us how likely you are to engage in the following activities to express your opinion about","You read ""the race-based threat + opportunity news article about CSRP research on race-based disparities with suggested protests and policy remedies"" and then were asked: ""Please tell us how likely you are to engage in t"
cdgp2,2,2,3,798,818,2,1.0,2,-0.17,0.9482871847406142,"You voted in the November 2020 presidential election. Did someone threaten or intimidate you to make you vote for a specific candidate? Only return 1 for Yes or 2 for No, nothing else.","You voted in the November 2020 presidential election. Did someone threaten or intimidate you to make you vote for a specific candidate? Only return 1 for Yes or 2 for No, nothing else."
zsekp,1,1,3,793,794,7,0.951,5,-1.75,0.9370223585650128,"You were provided with the following school report card for Oak High School showing letter grades: Academics: B; Arts: A; Citizenship and Community Responsibility: A. You were then asked: ""Considering all of your EXPECTA","You were provided with the following school report card for Oak High School showing achievement levels: Academics: Proficient; Arts: Advanced; Citizenship and Community Responsibility: Advanced. You were then asked: ""Con"
a2nbf,3,0,1,765,789,2,0.98,1,0.25,0.9611448761265229,"You read “The next few questions are about a special technique called “genetic testing,” which makes it possible to predict whether or not a person is likely to develop certain inherited diseases.” and then were asked: “","You read “The next few questions are about a special technique called “genetic testing,” which makes it possible to predict whether or not a person is likely to develop certain inherited diseases.” and then were asked: “"
rj3aw,4,1,2,764,766,2,0.656,1,-0.4,0.9152907608078007,You read “We need to take a zero-tolerance approach to immigration and immediately deport anyone who comes here illegally. It is too costly to continue to provide services to everyone who crosses the border.” and then we,"You read “We must repeal the environmental regulations placed on our businesses. We have a moral obligation to protect American workers.” and then were asked: “Based on your best impression, is this candidate’s stance mo"
pjneh,3,21,30,752,712,2,1.0,1,1.35,0.5189845341736243,"You were shown the question 'What is your race or origin? Select all that apply.' You saw the option 'American Indian or Alaska Native'. Only return 1 for Yes or 2 for No, nothing else.","You were shown the question 'What is your race or origin? Select all that apply.' You saw the option 'American Indian or Alaska Native'. Only return 1 for Yes or 2 for No, nothing else."
mp3dr,6,0,5,696,731,5,0.897,5,1.62,0.8181414516358139,"Some companies have a special office or committee that identifies barriers to diversity and works to remove those barriers. What is your opinion of this practice? Only return an integer from 1 to 7, where 1 means strongl","In order to create a workplace with more gender diversity, Some companies have a special office or committee that identifies barriers to diversity and works to remove those barriers. What is your opinion of this practice"
a693y,0,1,2,695,709,5,0.752,5,1.94,0.8050374709374106,"You read “People currently pay Social Security taxes on annual earnings up to a cap—$113,700 in 2013. Some people propose raising this cap on payroll taxes, so that workers who earn more than $113,700 per year would pay ","You read “People currently pay Social Security taxes on annual earnings up to a cap—$113,700 in 2013. Some people propose raising this cap on payroll taxes, so that workers who earn more than $113,700 per year would pay "
wn3y9,0,1,2,694,704,5,0.81,2,1.42,0.8711899206878526,"How would you feel if you had a son or daughter who married someone who voted for Barack Obama? Only return an integer from 1 (Very happy) to 5 (Very unhappy), nothing else.","How would you feel if you had a son or daughter who married someone who votes for the Democratic Party but who rarely talks about politics? Only return an integer from 1 (Very happy) to 5 (Very unhappy), nothing else."
r5hwx,1,3,4,672,693,5,0.646,4,1.04,0.9830023021240297,"You read “Civil war erupted in Liberia, an economically poor country in Africa. The government has killed hundreds of innocent civilians who were trying to escape the war. The civilians killed were of Christian faith. In",You read “Civil war erupted in an economically poor foreign country. The government has killed hundreds of innocent civilians who were trying to escape the war. The civilians killed were of not involved in the fighting. 
usywt,1,0,1,643,675,7,0.668,20,-0.42,0.5847522664573208,"You read the following description of a patient: ""Jennifer is a 40-year-old female White patient who Jennifer works in the food services sector and has lived in the U.S. for the past two years. Jennifer has been diagnose","You read the following description of a patient: ""Jacob is a 6-year-old male White patient who Jacob’s parents work in the financial services sector and has lived in the U.S. for the past two years. Jacob has been diagno"
4kjtn,2,0,1,854,635,7,0.522,6,-1.26,0.9857823287485239,"You were not shown any framing text before this question. and then were asked: “Should federal spending on aid to the poor be increased, decreased, or kept the same?” Only return an integer from 1 to 7, where 1 means “De",You read “The September 11th attacks and the news that al-Qaeda was planning new attacks on U.S. soil show how vulnerable America still is to terrorists. Innocent people can be killed while traveling to visit family. Acr
cug34,0,6,9,610,612,3,0.963,1,-0.33,0.6650055421020291,"You read ""Michelle and Anthony, both 31 years old, have been living together for three years. They have no children. Although they both work about forty hours per week, Anthony earns $2,800 a month while Michelle earns $","You read ""Michelle and Anthony, both 31 years old, have been living together for three years. They have one child together. Although they both work about forty hours per week, Anthony earns $2,800 a month while Michelle "
xvgh5,1,3,6,602,599,5,0.609,2,1.84,0.9021453056976618,"You read ""Foreign aid is money that the U.S. government sends to poor countries to help them fight poverty. A lot of the aid money that we send overseas goes to poor African countries in which half of the population live","You read ""Foreign aid is money that the U.S. government sends to poor countries to help them fight poverty. A lot of the aid money that we send overseas goes to poor Eastern European countries in which half of the popula"
ux8qt,0,1,3,573,587,4,0.715,1,1.24,0.9713064703098738,"You read the following passage: “In 2009, at the beginning of Barack Obama’s presidency, the unemployment rate was 8 percent. According to the latest official figures, the unemployment rate is 9.6 percent.” and then were","You read the following passage: “The unemployment rate has been rising since the last year and a half of George W. Bush’s presidency. In 2009, at the beginning of Barack Obama’s presidency, the unemployment rate was 8 pe"
m52pd,6,2,3,566,610,7,0.991,5,-1.62,0.9621220455313043,"You read a brochure describing Wadsworth College, a four-year college specializing in Arts and Sciences, showing that in 2017 men earned an overwhelming majority (64%) of all bachelor’s degrees, and then reviewed the rés","You read a brochure describing Wadsworth College, a four-year college specializing in Arts and Sciences, showing that in 2017 men earned an overwhelming majority (64%) of all bachelor’s degrees, and then reviewed the rés"
6s2q5,3,0,1,566,549,2,0.681,1,-1.76,0.5900652671881419,"You read ""According to the U.S. Department of Education, college student loan debt now exceeds one trillion dollars, which surpasses the total credit card debt in the United States. This has led to proposals for a studen","You read ""According to the U.S. Department of Education, college student loan debt now exceeds one trillion dollars, which surpasses the total credit card debt in the United States. This has led to proposals for a studen"
x2ztf,0,3,7,540,544,2,0.778,1,1.36,0.5149238676948611,"You watched a video of an Instacart shopper whose work is the sole source of income for her household and who does not face a recent COVID-19 spike. After watching the video, you were shown a link to join Gig Workers Col","You watched a video of a grocery store worker whose work is the sole source of income for her household and who does not face a recent COVID-19 spike. After watching the video, you were shown a link to join the United Fo"
fxcn4,3,0,3,531,531,7,0.939,5,1.51,0.9601838378040323,You viewed an image of a redacted workplace sexual harassment incident report stating that the claimant Michelle is an African American/Black cisgender woman. I believe that this experience has caused Michelle harm. Only,You viewed an image of a redacted workplace sexual harassment incident report stating that the claimant Michelle is a White transgender woman. I believe that this experience has caused Michelle harm. Only return an integ
3xy9j,10,0,1,539,528,2,1.0,1,0.32,0.8982076441757387,"You read ""Imagine that one day you have a serious stroke: a blood clot blocks an artery in your brain, so part of your brain does not get enough blood. As a result, you are unable to speak and the right side of your body","You read ""Imagine that one day you have a serious stroke: a blood clot blocks an artery in your brain, so part of your brain does not get enough blood. As a result, you are unable to speak and the right side of your body"
sffyb,9,0,1,523,548,2,1.0,1,-0.63,0.6346046767846967,"One week later, have you increased your retirement savings contributions in the last week? Only return 1 for Yes or 2 for No, nothing else.","One week later, have you increased your retirement savings contributions in the last week? Only return 1 for Yes or 2 for No, nothing else."
bsd7j,3,0,2,513,505,3,0.646,2,0.7,0.8881404466569671,"You viewed a chart showing the percentage of U.S. adults who use the Internet over time. The chart shows that in 2007, 74% of American adults reported using the Internet. and then were asked: 'Should federal spending on ","You viewed a chart showing the average total tax rates (all federal, state, and local taxes) for U.S. households at different income levels. The chart shows that the poorest 20% have an average rate of 19%. and then were"
g59sr,6,0,3,517,430,2,0.583,1,1.38,0.5496264100354926,You read “The Coalition to Reduce Poverty today announced the launch of a fundraising drive to raise 2 million dollars through small donations. The Coalition to Reduce Poverty provides direct assistance and services to h,"You read “When you give to the Coalition to Reduce Poverty, you help fight the clear injustice of poverty today. Millions of poor people suffer greatly every day, either because there aren’t enough jobs or because their "
bqm6j,1,1,4,460,426,4,0.942,2,-1.52,0.6059957668768352,"You watched a 30-second video advertisement endorsing Rob Portman for the U.S. Senate in Ohio, with that same disclaimer at the start, immediately followed by a business-oriented disclosure listing the top five funders (","You watched a 30-second video advertisement endorsing Rob Portman for the U.S. Senate in Ohio, with that disclaimer at the end followed by a business-oriented disclosure listing the top five funders (Public Storage Inc.;"
9n7hj,1,0,2,425,429,2,0.97,2,1.87,0.6334364896951881,"You were shown an image of a person with an angry expression. As of right now, do you favor or oppose Barack Obama and the Democrats’ health care reform proposals being discussed in Congress? Only return 1 for 'Favor the","You were shown an image of a person with an enthusiastic expression. As of right now, do you favor or oppose Barack Obama and the Democrats’ health care reform proposals being discussed in Congress? Only return 1 for 'Fa"
ztwqy,7,1,2,410,417,2,1.0,11,-1.18,0.8876067378707166,"You were asked: ""Imagine that a friend invites you to go out for a fancy dinner next week. How much would you be willing to spend?"" Only return an integer from 1 ($0–$20) to 7 (More than $120), nothing else.","You were asked: ""Imagine that a friend invites you to go out for a fancy dinner next week. How much would you be willing to spend?"" Only return an integer from 1 ($0–$20) to 7 (More than $120), nothing else."
