var,label,reason
VOTE04,2004년 제17대 국회의원선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE041,2004년 제17대 국회위원선거에서 투표한 후보의 정당,앵커 준중복(정치성향/투표)
VOTE042,2004년 제17대 국회의원선거에서 투표한 비례대표 정당,앵커 준중복(정치성향/투표)
VOTE06,2006년 지방자치선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE07,2007년 제17대 대통령선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE071,2007년 제17대 대통령선거에서 투표한 후보의 정당,앵커 준중복(정치성향/투표)
VOTE08,2008년 제18대 국회의원선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE10,2010년 제5회 전국동시지방선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE101,2010년 제5회 전국동시지방선거에서 투표한 후보의 정당,앵커 준중복(정치성향/투표)
VOTE12,2012년 제19대 국회의원선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE121,2012년 제19대 국회의원선거에서 투표한 후보의 정당,앵커 준중복(정치성향/투표)
VOTE13,2012년 제18대 대통령선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE131,2012년 제18대 대통령선거에서 투표한 후보의 정당,앵커 준중복(정치성향/투표)
VOTE14,2014년 제6회 전국동시지방선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE141,2014년 제6회 전국동시지방선거에서 투표한 정당의 후보,앵커 준중복(정치성향/투표)
VOTE16,2016년 제20대 국회의원선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE161,2016년 제20대 국회의원선거에서 투표한 정당 및 후보,앵커 준중복(정치성향/투표)
VOTE18,2018년 제7회 전국동시지방선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE181,2018년 제7회 전국동시지방선거에서 투표한 정당 및 후보,앵커 준중복(정치성향/투표)
VOTE20,2020년 제21대 국회의원선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE201,2020년 제21대 국회의원선거에서 투표한 정당 및 후보,앵커 준중복(정치성향/투표)
VOTE22,2022년 제8회 전국동시지방선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE221,2022년 제8회 전국동시지방선거에서 투표한 후보의 정당,앵커 준중복(정치성향/투표)
VOTE2007,2007년 17대 대통령선거 투표(2016년 조사),앵커 준중복(정치성향/투표)
VOTE2012,2012년 18대 대통령선거 투표(2016년 조사),앵커 준중복(정치성향/투표)
VOTE24,2024년 제22대 국회의원선거 투표 여부,앵커 준중복(정치성향/투표)
VOTE241,2024년 제22대 국회의원선거에서 투표한 지역구 국회의원 정당,앵커 준중복(정치성향/투표)
VOTE242,2024년 제22대 국회의원선거에서 투표한 비례대표 국회의원 정당,앵커 준중복(정치성향/투표)
QUALPRES,한국 대통령에게 필요한 자질(개방형),앵커 준중복(정치성향/투표)
VOTE2012PA,2012년 제18대 대통령선거 지지후보 아버지 지지여부,앵커 준중복(정치성향/투표)
VOTE2016PA,2016년 제20대 국회의원선거 지지후보 아버지 지지여부,앵커 준중복(정치성향/투표)
WHOMBLZ1,2016년 국회의원선거(04.13) 당시 정치적 부탁 받았는지 여부1: 가족이나 친척,앵커 준중복(정치성향/투표)
WHOMBLZ2,2016년 국회의원선거(04.13) 당시 정치적 부탁 받았는지 여부2: 직장동료,앵커 준중복(정치성향/투표)
WHOMBLZ3,2016년 국회의원선거(04.13) 당시 정치적 부탁 받았는지 여부3: 이웃,앵커 준중복(정치성향/투표)
WHOMBLZ4,2016년 국회의원선거(04.13) 당시 정치적 부탁 받았는지 여부4: 친구,앵커 준중복(정치성향/투표)
WHOMBLZ5,2016년 국회의원선거(04.13) 당시 정치적 부탁 받았는지 여부5: 종교집단 지도자나 신도,앵커 준중복(정치성향/투표)
WHOMBLZ6,2016년 국회의원선거(04.13) 당시 정치적 부탁 받았는지 여부6: 동호회,앵커 준중복(정치성향/투표)
WHOMBLZ7,2016년 국회의원선거(04.13) 당시 정치적 부탁 받았는지 여부7: 선거 운동원,앵커 준중복(정치성향/투표)
WHOMBLZ8,2016년 국회의원선거(04.13) 당시 정치적 부탁 받았는지 여부8: 기타,앵커 준중복(정치성향/투표)
PRTYMBLZ,2016년 국회의원선거(04.13) 당시 부탁한 사람의 지지 정당 후보자,앵커 준중복(정치성향/투표)
LOCELEC1,2018년 전국동시지방선거(06.13) 당시 정치적 부탁 받았는지 여부1: 가족이나 친척,앵커 준중복(정치성향/투표)
LOCELEC2,2018년 전국동시지방선거(06.13) 당시 정치적 부탁 받았는지 여부2: 직장동료,앵커 준중복(정치성향/투표)
LOCELEC3,2018년 전국동시지방선거(06.13) 당시 정치적 부탁 받았는지 여부3: 이웃,앵커 준중복(정치성향/투표)
LOCELEC4,2018년 전국동시지방선거(06.13) 당시 정치적 부탁 받았는지 여부4: 친구,앵커 준중복(정치성향/투표)
LOCELEC5,2018년 전국동시지방선거(06.13) 당시 정치적 부탁 받았는지 여부5: 교회 등의 종교집단 지도자나 신도,앵커 준중복(정치성향/투표)
LOCELEC6,2018년 전국동시지방선거(06.13) 당시 정치적 부탁 받았는지 여부6: 동호회 혹은 자발적 결사체의 구성원,앵커 준중복(정치성향/투표)
LOCELEC7,2018년 전국동시지방선거(06.13) 당시 정치적 부탁 받았는지 여부7: 선거 운동원,앵커 준중복(정치성향/투표)
LOCELEC8,2018년 전국동시지방선거(06.13) 당시 정치적 부탁 받았는지 여부8: 기타,앵커 준중복(정치성향/투표)
ASKCADID,2018년 전국동시지방선거(06.13) 당시 부탁한 사람의 지지 정당 후보자,앵커 준중복(정치성향/투표)
VOTEDUTY,투표는 민주시민의 의무 혹은 선택권,앵커 준중복(정치성향/투표)
VOTEDUTC,귀하는 투표가 의무라고 생각하시는 의견이 얼마나 확고하십니까?,앵커 준중복(정치성향/투표)
RUNELECTA,선거 입후보에 제한을 두었으면 하는 사람(A형),앵커 준중복(정치성향/투표)
RUNELECTB,선거 입후보에 제한을 두었으면 하는 사람(B형),앵커 준중복(정치성향/투표)
AUTHORT3,사회 혼란 유발자들과 싸우기 위해서라면 무력사용도 정당화,앵커 준중복(정치성향/투표)
CNSCSOTH,지지후보 밝힐 때 신경이 쓰이는지 여부,앵커 준중복(정치성향/투표)
SAYPOLPR,지지후보를 밝혀야 하는 상황이 되면 어떻게 하는지,앵커 준중복(정치성향/투표)
POLTALK,20대 국회의원선거 이야기를 가족과 나눈 빈도,앵커 준중복(정치성향/투표)
FPOLICY3,외국인 이주자 관련 정책3: 지방선거에서 투표권,앵커 준중복(정치성향/투표)
NUKPLT10A,원자력발전10: 원자력 발전 정책에 대한 의견(A형),위약쌍 문항(A/B폼)
NUKPLT10B,원자력발전10: 원자력 발전 정책에 대한 의견(B형),위약쌍 문항(A/B폼)
ENQUETE4,여론조사에 대한 의견4: 정당후보 선출시 여론조사 결과 반영은 바람직하다,앵커 준중복(정치성향/투표)
POLLATT2,여론조사에 대한 의견2: 정당들의 여론조사 참조,앵커 준중복(정치성향/투표)
POLLATT4,여론조사에 대한 의견4: 투표할 때 여론조사결과 참조 정도,앵커 준중복(정치성향/투표)
POLLATT5,여론조사에 대한 의견5: 정치인들이 국민의 의견을 존중하게 만드는 데에 선거의 역할,앵커 준중복(정치성향/투표)
POLLRELI,선거여론조사 결과에 대한 신뢰,앵커 준중복(정치성향/투표)
SAMPTHOUA,"여론조사의 대표성에 대한 의견(A형): 전국 무작위 1,000명 국민 여론의 정확성",위약쌍 문항(A/B폼)
SAMPTHOUB23,"여론조사의 대표성에 대한 의견(B형): 전국 1,000명 국민 여론의 정확성",위약쌍 문항(A/B폼)
SAMPTNTHB25,"여론조사의 대표성에 대한 의견(B형): 전국 무작위 10,000명 국민 여론의 정확성",위약쌍 문항(A/B폼)
ELEFRAUDA,부정선거 의혹에 대한 인식(A형),위약쌍 문항(A/B폼)
ELEFRAUDB,부정선거 의혹에 대한 인식(B형),위약쌍 문항(A/B폼)
EPOLLENJY,선거여론조사 즐거움1: 인터넷을 통한 설문 응답의 즐거움,앵커 준중복(정치성향/투표)
EPOLLINTE,선거여론조사 즐거움2: 면접원에게 질문 받는 것의 즐거움,앵커 준중복(정치성향/투표)
EPOLLIMPO,선거여론조사 즐거움3: 조사 자체의 흥미로움,앵커 준중복(정치성향/투표)
EPOLLSOCI,선거여론조사 가치1: 사회에 중요,앵커 준중복(정치성향/투표)
EPOLLUSEF,선거여론조사 가치2: 유용한 정보 제공,앵커 준중복(정치성향/투표)
EPOLLTIME,선거여론조사 가치3: 시간 낭비,앵커 준중복(정치성향/투표)
EPOLLREQU,선거여론조사 부담1: 너무 많은 조사 참여 요청,앵커 준중복(정치성향/투표)
EPOLLPRIV,선거여론조사 부담2: 사생활 침해,앵커 준중복(정치성향/투표)
EPOLLTIRD,선거여론조사 부담3: 너무 많은 질문에 대한 대답,앵커 준중복(정치성향/투표)
POLLWRRY,선거여론조사의 개인정보 보안에 대한 우려,앵커 준중복(정치성향/투표)
POLLNEUT,선거여론조사 기관의 정치적 중립성에 대한 인식,앵커 준중복(정치성향/투표)
ESURVEYN,선거여론조사 참여 요청 경험,앵커 준중복(정치성향/투표)
ESURASK,(선거여론조사 요청을 받은적 있다면) 참여 요청 횟수,앵커 준중복(정치성향/투표)
ESURFRQ,(선거여론조사 요청을 받은적 있다면) 참여 횟수,앵커 준중복(정치성향/투표)
ESURAGIN,선거여론조사 참여 의향,앵커 준중복(정치성향/투표)
IFWRONG,국가자긍심5: 국민은 자기 나라가 잘못 되더라도 자기 나라를 지지해야 한다,앵커 준중복(정치성향/투표)
PROUDDEM,한국의 민주주의에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDDEM16A,한국의 민주주의에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDDEM16B,한국의 민주주의에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDPOL,한국의 국제 정치 영향력에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDPOL16A,한국의 국제 정치 영향력에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDPOL16B,한국의 국제 정치 영향력에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDECO,한국의 경제적 성취에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDECO16A,한국의 경제적 성취에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDECO16B,한국의 경제적 성취에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDSSS,한국의 사회보장제도에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDSSS16A,한국의 사회보장제도에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDSSS16B,한국의 사회보장제도에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDSCI,한국의 과학기술 성취에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDSCI16A,한국의 과학기술 성취에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDSCI16B,한국의 과학기술 성취에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDSPT,한국의 스포츠 성취에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDSPT16A,한국의 스포츠 성취에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDSPT16B,한국의 스포츠 성취에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDART,한국의 예술과 문학 성취에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDART16A,한국의 예술과 문학 성취에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDART16B,한국의 예술과 문학 성취에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDMIL,한국의 군사력에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDMIL16A,한국의 군사력에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDMIL16B,한국의 군사력에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDHIS,한국의 역사에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDHIS16A,한국의 역사에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDHIS16B,한국의 역사에 대한 자긍심(B형),위약쌍 문항(A/B폼)
PROUDGRP,한국사회의 공정성에 대한 자긍심,위약쌍 문항(A/B폼)
PROUDGRP16A,한국사회의 공정성에 대한 자긍심(A형),위약쌍 문항(A/B폼)
PROUDGRP16B,한국사회의 공정성에 대한 자긍심(B형),위약쌍 문항(A/B폼)
VOTEELEC,시민 덕목 중요성에 대한 인식1: 선거 투표 참여,앵커 준중복(정치성향/투표)
VOTRIGHT,시민 권리 중요성에 대한 인식9: 장기체류자에 투표권 부여,앵커 준중복(정치성향/투표)
NOTVOTE,시민 권리 중요성에 대한 인식10: 투표하지 않을 권리 보장,앵커 준중복(정치성향/투표)
GRPPARTY,사회단체 참여여부 및 활동정도1: 정당,앵커 준중복(정치성향/투표)
POLSNS,정치적 참여의사 및 참여여부9: 선거관련글공유,앵커 준중복(정치성향/투표)
POLACTVE,한국 정당은 정치참여를 적극적으로 도와준다는 주장에 대한 찬반 의견,앵커 준중복(정치성향/투표)
CHOICES,한국 정당은 유권자에게 정책 선택 권한을 안준다는 주장에 대한 찬반 의견,앵커 준중복(정치성향/투표)
REFRNDMS,국민투표는 정치문제를 결정하기 좋은 방법이다라는 주장에 대한 찬반 의견,앵커 준중복(정치성향/투표)
ELECVOTE,2004 국회의원선거 시 투표집계와 결과 발표의 투명성에 대한 평가,앵커 준중복(정치성향/투표)
ELECFAIR,2004 국회의원선거 시 선거운동 기회의 공정성에 대한 평가,앵커 준중복(정치성향/투표)
ELECVOT14,2014 국회의원선거 투표집계 발표투명성,앵커 준중복(정치성향/투표)
ELECFAI14,2014 국회의원선거 기회공정성,앵커 준중복(정치성향/투표)
PROUDWRK,조직몰입2: 이 직장에서 일하는 것을 자랑스럽게 생각,위약쌍 문항(A/B폼)
GOVSUP1,정부정책에 대한 지지도1: 정부지출삭감,앵커 준중복(정치성향/투표)
GOVSUP2,정부정책에 대한 지지도2: 일자리 창출 사업의 재정지원,앵커 준중복(정치성향/투표)
GOVSUP3,정부정책에 대한 지지도3: 기업규제 완화,앵커 준중복(정치성향/투표)
GOVSUP4,정부정책에 대한 지지도4: 신상품 및 신기술 개발 지원,앵커 준중복(정치성향/투표)
GOVSUP5,정부정책에 대한 지지도5: 사양산업 지원,앵커 준중복(정치성향/투표)
GOVSUP6,정부정책에 대한 지지도6: 일자리 창출을 위한 근로시간 단축,앵커 준중복(정치성향/투표)
POLEFF5,정치적 효능감5: 국회의원의 선거공약 준수 노력,앵커 준중복(정치성향/투표)
GRPPART5,정당 또는 정치 모임이나 단체 참여도,앵커 준중복(정치성향/투표)
RELLEAD1,종교지도자의 선거 투표 영향에 대한 의견,앵커 준중복(정치성향/투표)
RELDIFF2,타종교인이 내 지지 정당의 후보자가 되는 것에 대한 태도,앵커 준중복(정치성향/투표)
WKNOREST,쉴 수 있는 정당한 사유가 있어도 열심히 일,앵커 준중복(정치성향/투표)
NOTABSNT,학교생활1: 아프거나 정당한 이유가 있어도 매일 학교에 가려고 노력,앵커 준중복(정치성향/투표)
HOPELESS,정서 상태1: 희망이 없어 보이고 상황이 더 나아지지 않는다고 생각,앵커 준중복(정치성향/투표)
POLASK1,19대 국회의원선거 당시 정치적 부탁 받았는지 여부1: 가족이나 친척으로부터,앵커 준중복(정치성향/투표)
POLASK2,19대 국회의원선거 당시 정치적 부탁 받았는지 여부2: 직장동료로부터,앵커 준중복(정치성향/투표)
POLASK3,19대 국회의원선거 당시 정치적 부탁 받았는지 여부3: 이웃으로부터,앵커 준중복(정치성향/투표)
POLASK4,19대 국회의원선거 당시 정치적 부탁 받았는지 여부4: 친구로부터,앵커 준중복(정치성향/투표)
POLASK5,19대 국회의원선거 당시 정치적 부탁 받았는지 여부5: 종교집단 지도자나 신도로부터,앵커 준중복(정치성향/투표)
POLASK6,19대 국회의원선거 당시 정치적 부탁 받았는지 여부6: 동호회나 자발적 결사체의 구성원으로부터,앵커 준중복(정치성향/투표)
POLASK7,19대 국회의원선거 당시 정치적 부탁 받았는지 여부7: 선거운동원으로부터,앵커 준중복(정치성향/투표)
POLASK8,19대 국회의원선거 당시 정치적 부탁 받았는지 여부8: 기타,앵커 준중복(정치성향/투표)
